Date,Description,Amount,Type,Category,Account Name,Month
2018-04-04,Credit Card Payment,-363.08,Expense,Credit Card Payment,Checking,2018-04
2018-04-04,Netflix,-11.76,Expense,Movies & Dvds,Platinum Card,2018-04
2018-04-06,Chevron,-4.58,Expense,Gas & Fuel,Platinum Card,2018-04
2018-04-06,Tiny Deli,-9.76,Expense,Restaurants,Platinum Card,2018-04
2018-04-08,Irish Pub,-22.0,Expense,Restaurants,Platinum Card,2018-04
2018-04-09,Blue Sky Market,-6.48,Expense,Groceries,Silver Card,2018-04
2018-04-09,Spotify,-10.69,Expense,Music,Platinum Card,2018-04
2018-04-09,Gas Company,-30.0,Expense,Utilities,Checking,2018-04
2018-04-11,Phone Company,-89.52,Expense,Mobile Phone,Checking,2018-04
2018-04-12,Starbucks,-7.0,Expense,Coffee Shops,Platinum Card,2018-04
2018-04-12,Barbershop,-30.0,Expense,Haircut,Platinum Card,2018-04
2018-04-13,BP,-37.98,Expense,Gas & Fuel,Platinum Card,2018-04
2018-04-13,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-04
2018-04-13,American Tavern,-10.66,Expense,Restaurants,Platinum Card,2018-04
2018-04-14,Hardware Store,-11.61,Expense,Home Improvement,Platinum Card,2018-04
2018-04-14,American Tavern,-41.0,Expense,Restaurants,Platinum Card,2018-04
2018-04-16,State Farm,-75.0,Expense,Auto Insurance,Checking,2018-04
2018-04-16,City Water Charges,-35.0,Expense,Utilities,Checking,2018-04
2018-04-18,Power Company,-60.0,Expense,Utilities,Checking,2018-04
2018-04-20,Thai Restaurant,-24.22,Expense,Restaurants,Silver Card,2018-04
2018-04-21,Grocery Store,-4.32,Expense,Groceries,Silver Card,2018-04
2018-04-21,American Tavern,-35.15,Expense,Restaurants,Silver Card,2018-04
2018-04-22,Grocery Store,-21.32,Expense,Groceries,Platinum Card,2018-04
2018-04-23,Hardware Store,-42.7,Expense,Home Improvement,Silver Card,2018-04
2018-04-24,Hardware Store,-224.7,Expense,Home Improvement,Platinum Card,2018-04
2018-04-24,Amazon,-41.34,Expense,Shopping,Platinum Card,2018-04
2018-04-25,Hardware Store,-210.79,Expense,Home Improvement,Silver Card,2018-04
2018-04-25,Internet Service Provider,-74.99,Expense,Internet,Checking,2018-04
2018-04-26,Credit Card Payment,769.72,Income,Credit Card Payment,Silver Card,2018-04
2018-04-26,Credit Card Payment,1216.94,Income,Credit Card Payment,Platinum Card,2018-04
2018-04-26,Credit Card Payment,-1216.94,Expense,Credit Card Payment,Checking,2018-04
2018-04-27,Credit Card Payment,-769.72,Expense,Credit Card Payment,Checking,2018-04
2018-04-27,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-04
2018-04-28,Grocery Store,-22.98,Expense,Groceries,Silver Card,2018-04
2018-04-29,QuikTrip,-39.0,Expense,Gas & Fuel,Platinum Card,2018-04
2018-04-29,Grocery Store,-51.05,Expense,Groceries,Platinum Card,2018-04
2018-04-29,Hardware Store,-68.47,Expense,Home Improvement,Platinum Card,2018-04
2018-04-30,Grocery Store,-5.09,Expense,Groceries,Platinum Card,2018-04
2018-05-01,Amazon,-13.13,Expense,Shopping,Platinum Card,2018-05
2018-05-02,Mortgage Payment,-1247.44,Expense,Mortgage & Rent,Checking,2018-05
2018-05-03,Amazon,-49.72,Expense,Shopping,Platinum Card,2018-05
2018-05-04,Grocery Store,-42.23,Expense,Groceries,Platinum Card,2018-05
2018-05-04,Netflix,-11.76,Expense,Movies & Dvds,Platinum Card,2018-05
2018-05-05,Bojangles,-7.27,Expense,Fast Food,Platinum Card,2018-05
2018-05-05,Pizza Place,-20.52,Expense,Fast Food,Platinum Card,2018-05
2018-05-06,Hardware Store,-22.37,Expense,Home Improvement,Platinum Card,2018-05
2018-05-06,Amazon,-117.69,Expense,Shopping,Platinum Card,2018-05
2018-05-09,Credit Card Payment,601.4,Income,Credit Card Payment,Platinum Card,2018-05
2018-05-09,Credit Card Payment,-601.4,Expense,Credit Card Payment,Checking,2018-05
2018-05-09,Spotify,-10.69,Expense,Music,Platinum Card,2018-05
2018-05-09,Gas Company,-30.0,Expense,Utilities,Checking,2018-05
2018-05-10,Phone Company,-111.18,Expense,Mobile Phone,Checking,2018-05
2018-05-11,Grocery Store,-57.32,Expense,Groceries,Platinum Card,2018-05
2018-05-11,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-05
2018-05-11,Mike's Construction Co.,-8000.0,Expense,Home Improvement,Checking,2018-05
2018-05-12,Liquor Store,-27.77,Expense,Alcohol & Bars,Platinum Card,2018-05
2018-05-12,Shell,-33.3,Expense,Gas & Fuel,Platinum Card,2018-05
2018-05-12,Fancy Restaurant,-78.0,Expense,Restaurants,Platinum Card,2018-05
2018-05-14,Grocery Store,-67.63,Expense,Groceries,Silver Card,2018-05
2018-05-15,Power Company,-60.0,Expense,Utilities,Checking,2018-05
2018-05-17,Barbershop,-29.0,Expense,Haircut,Silver Card,2018-05
2018-05-17,City Water Charges,-35.0,Expense,Utilities,Checking,2018-05
2018-05-18,State Farm,-75.0,Expense,Auto Insurance,Checking,2018-05
2018-05-18,Amazon,-6.41,Expense,Shopping,Platinum Card,2018-05
2018-05-19,Credit Card Payment,207.08,Income,Credit Card Payment,Platinum Card,2018-05
2018-05-19,Grocery Store,-31.0,Expense,Groceries,Silver Card,2018-05
2018-05-19,Greek Restaurant,-23.26,Expense,Restaurants,Silver Card,2018-05
2018-05-21,Credit Card Payment,283.07,Income,Credit Card Payment,Silver Card,2018-05
2018-05-21,Thai Restaurant,-26.04,Expense,Restaurants,Silver Card,2018-05
2018-05-21,Amazon,-32.5,Expense,Shopping,Platinum Card,2018-05
2018-05-22,Credit Card Payment,-283.07,Expense,Credit Card Payment,Checking,2018-05
2018-05-24,BP,-39.44,Expense,Gas & Fuel,Silver Card,2018-05
2018-05-25,Internet Service Provider,-74.99,Expense,Internet,Checking,2018-05
2018-05-25,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-05
2018-05-28,Movie Theater,-9.62,Expense,Other,Silver Card,2018-05
2018-05-28,Grocery Store,-91.03,Expense,Groceries,Silver Card,2018-05
2018-05-29,Movie Theater,-20.0,Expense,Movies & Dvds,Silver Card,2018-05
2018-05-29,Movie Theater,-6.25,Expense,Movies & Dvds,Silver Card,2018-05
2018-06-01,BP,-38.63,Expense,Gas & Fuel,Platinum Card,2018-06
2018-06-01,Grocery Store,-6.11,Expense,Groceries,Platinum Card,2018-06
2018-06-01,Amazon,-13.13,Expense,Shopping,Platinum Card,2018-06
2018-06-02,Credit Card Payment,235.18,Income,Credit Card Payment,Silver Card,2018-06
2018-06-02,Credit Card Payment,466.36,Income,Credit Card Payment,Platinum Card,2018-06
2018-06-03,Italian Restaurant,-65.81,Expense,Restaurants,Platinum Card,2018-06
2018-06-04,Credit Card Payment,-235.18,Expense,Credit Card Payment,Checking,2018-06
2018-06-04,Grocery Store,-24.12,Expense,Groceries,Platinum Card,2018-06
2018-06-04,Mortgage Payment,-1247.44,Expense,Mortgage & Rent,Checking,2018-06
2018-06-04,Netflix,-11.76,Expense,Movies & Dvds,Platinum Card,2018-06
2018-06-06,Starbucks,-4.0,Expense,Coffee Shops,Platinum Card,2018-06
2018-06-08,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-06
2018-06-08,Gas Company,-30.0,Expense,Utilities,Checking,2018-06
2018-06-09,Chick-Fil-A,-16.18,Expense,Fast Food,Platinum Card,2018-06
2018-06-09,Grocery Store,-9.56,Expense,Groceries,Platinum Card,2018-06
2018-06-09,Spotify,-10.69,Expense,Music,Platinum Card,2018-06
2018-06-10,Grocery Store,-46.01,Expense,Groceries,Platinum Card,2018-06
2018-06-12,Grocery Store,-12.55,Expense,Groceries,Platinum Card,2018-06
2018-06-12,Phone Company,-89.46,Expense,Mobile Phone,Checking,2018-06
2018-06-14,Credit Card Payment,283.44,Income,Credit Card Payment,Platinum Card,2018-06
2018-06-14,Credit Card Payment,-283.44,Expense,Credit Card Payment,Checking,2018-06
2018-06-14,Grocery Store,-7.02,Expense,Groceries,Platinum Card,2018-06
2018-06-15,Power Company,-60.0,Expense,Utilities,Checking,2018-06
2018-06-16,Starbucks,-3.0,Expense,Coffee Shops,Platinum Card,2018-06
2018-06-16,Pizza Place,-22.66,Expense,Fast Food,Platinum Card,2018-06
2018-06-16,Grocery Store,-13.9,Expense,Groceries,Platinum Card,2018-06
2018-06-18,City Water Charges,-35.0,Expense,Utilities,Checking,2018-06
2018-06-19,Shell,-38.52,Expense,Gas & Fuel,Platinum Card,2018-06
2018-06-19,Grocery Store,-2.69,Expense,Groceries,Platinum Card,2018-06
2018-06-20,State Farm,-75.0,Expense,Auto Insurance,Checking,2018-06
2018-06-20,Credit Card Payment,89.45,Income,Credit Card Payment,Silver Card,2018-06
2018-06-20,Barbershop,-30.0,Expense,Haircut,Silver Card,2018-06
2018-06-21,Credit Card Payment,-89.45,Expense,Credit Card Payment,Checking,2018-06
2018-06-22,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-06
2018-06-23,Brunch Restaurant,-8.5,Expense,Restaurants,Silver Card,2018-06
2018-06-23,Amazon,-74.97,Expense,Shopping,Platinum Card,2018-06
2018-06-25,Credit Card Payment,942.76,Income,Credit Card Payment,Platinum Card,2018-06
2018-06-25,Credit Card Payment,-942.76,Expense,Credit Card Payment,Checking,2018-06
2018-06-25,Internet Service Provider,-74.99,Expense,Internet,Checking,2018-06
2018-06-26,Grocery Store,-9.62,Expense,Groceries,Silver Card,2018-06
2018-06-27,Starbucks,-3.5,Expense,Coffee Shops,Silver Card,2018-06
2018-06-27,Pizza Place,-22.66,Expense,Fast Food,Platinum Card,2018-06
2018-06-28,Grocery Store,-7.57,Expense,Groceries,Silver Card,2018-06
2018-07-01,Amazon,-13.13,Expense,Shopping,Platinum Card,2018-07
2018-07-02,Mortgage Payment,-1247.44,Expense,Mortgage & Rent,Checking,2018-07
2018-07-02,Movie Theater,-25.0,Expense,Movies & Dvds,Silver Card,2018-07
2018-07-02,American Tavern,-36.44,Expense,Restaurants,Silver Card,2018-07
2018-07-04,BP,-34.48,Expense,Gas & Fuel,Silver Card,2018-07
2018-07-04,Netflix,-11.76,Expense,Movies & Dvds,Platinum Card,2018-07
2018-07-05,Grocery Store,-44.25,Expense,Groceries,Silver Card,2018-07
2018-07-05,Amazon,-212.32,Expense,Shopping,Platinum Card,2018-07
2018-07-06,Amazon Video,-6.41,Expense,Movies & Dvds,Platinum Card,2018-07
2018-07-06,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-07
2018-07-08,Credit Card Payment,259.87,Income,Credit Card Payment,Platinum Card,2018-07
2018-07-09,Credit Card Payment,242.16,Income,Credit Card Payment,Silver Card,2018-07
2018-07-09,Credit Card Payment,-259.87,Expense,Credit Card Payment,Checking,2018-07
2018-07-09,Spotify,-10.69,Expense,Music,Platinum Card,2018-07
2018-07-10,Credit Card Payment,-242.16,Expense,Credit Card Payment,Checking,2018-07
2018-07-10,Grocery Store,-5.39,Expense,Groceries,Silver Card,2018-07
2018-07-10,Gas Company,-30.0,Expense,Utilities,Checking,2018-07
2018-07-11,Phone Company,-89.46,Expense,Mobile Phone,Checking,2018-07
2018-07-14,Go Mart,-33.51,Expense,Gas & Fuel,Silver Card,2018-07
2018-07-15,Circle K,-36.24,Expense,Gas & Fuel,Platinum Card,2018-07
2018-07-17,Wendy's,-15.23,Expense,Fast Food,Silver Card,2018-07
2018-07-17,City Water Charges,-35.0,Expense,Utilities,Checking,2018-07
2018-07-17,Power Company,-60.0,Expense,Utilities,Checking,2018-07
2018-07-18,Irish Restaurant,-28.54,Expense,Alcohol & Bars,Platinum Card,2018-07
2018-07-18,State Farm,-75.0,Expense,Auto Insurance,Checking,2018-07
2018-07-20,Credit Card Payment,61.43,Income,Credit Card Payment,Silver Card,2018-07
2018-07-20,Credit Card Payment,102.88,Income,Credit Card Payment,Platinum Card,2018-07
2018-07-20,Credit Card Payment,-102.88,Expense,Credit Card Payment,Checking,2018-07
2018-07-20,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-07
2018-07-21,Grocery Store,-28.93,Expense,Groceries,Platinum Card,2018-07
2018-07-21,Barbershop,-30.0,Expense,Haircut,Platinum Card,2018-07
2018-07-23,Credit Card Payment,-61.43,Expense,Credit Card Payment,Checking,2018-07
2018-07-23,Starbucks,-9.58,Expense,Fast Food,Platinum Card,2018-07
2018-07-24,American Tavern,-26.59,Expense,Restaurants,Platinum Card,2018-07
2018-07-25,Internet Service Provider,-74.99,Expense,Internet,Checking,2018-07
2018-07-26,Conoco,-33.67,Expense,Gas & Fuel,Silver Card,2018-07
2018-07-28,Grocery Store,-7.61,Expense,Groceries,Silver Card,2018-07
2018-07-30,American Tavern,-34.38,Expense,Restaurants,Silver Card,2018-07
2018-07-31,Brewing Company,-6.6,Expense,Alcohol & Bars,Silver Card,2018-07
2018-08-01,Amazon,-13.13,Expense,Shopping,Platinum Card,2018-08
2018-08-02,Credit Card Payment,816.27,Income,Credit Card Payment,Platinum Card,2018-08
2018-08-02,Shell,-40.44,Expense,Gas & Fuel,Silver Card,2018-08
2018-08-02,Mortgage Payment,-1247.44,Expense,Mortgage & Rent,Checking,2018-08
2018-08-03,Grocery Store,-6.27,Expense,Groceries,Silver Card,2018-08
2018-08-03,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-08
2018-08-04,Netflix,-11.76,Expense,Movies & Dvds,Platinum Card,2018-08
2018-08-06,Amazon,-76.47,Expense,Shopping,Platinum Card,2018-08
2018-08-09,Spotify,-10.69,Expense,Music,Platinum Card,2018-08
2018-08-09,Gas Company,-30.0,Expense,Utilities,Checking,2018-08
2018-08-10,Phone Company,-89.4,Expense,Mobile Phone,Checking,2018-08
2018-08-11,Chick-Fil-A,-13.67,Expense,Fast Food,Platinum Card,2018-08
2018-08-11,Valero,-33.66,Expense,Gas & Fuel,Platinum Card,2018-08
2018-08-15,Credit Card Payment,269.56,Income,Credit Card Payment,Silver Card,2018-08
2018-08-15,Credit Card Payment,159.38,Income,Credit Card Payment,Platinum Card,2018-08
2018-08-15,Shell,-41.07,Expense,Gas & Fuel,Platinum Card,2018-08
2018-08-15,Grocery Store,-5.64,Expense,Groceries,Platinum Card,2018-08
2018-08-15,Power Company,-60.0,Expense,Utilities,Checking,2018-08
2018-08-16,Credit Card Payment,-269.56,Expense,Credit Card Payment,Checking,2018-08
2018-08-16,City Water Charges,-35.0,Expense,Utilities,Checking,2018-08
2018-08-17,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-08
2018-08-17,Amazon,-14.98,Expense,Shopping,Platinum Card,2018-08
2018-08-18,Amazon,-23.47,Expense,Shopping,Platinum Card,2018-08
2018-08-20,State Farm,-75.0,Expense,Auto Insurance,Checking,2018-08
2018-08-21,Credit Card Payment,34.18,Income,Credit Card Payment,Silver Card,2018-08
2018-08-21,Credit Card Payment,99.76,Income,Credit Card Payment,Platinum Card,2018-08
2018-08-21,Credit Card Payment,-99.76,Expense,Credit Card Payment,Checking,2018-08
2018-08-22,Credit Card Payment,-34.18,Expense,Credit Card Payment,Checking,2018-08
2018-08-24,American Tavern,-42.31,Expense,Restaurants,Platinum Card,2018-08
2018-08-27,Internet Service Provider,-74.99,Expense,Internet,Checking,2018-08
2018-08-30,Shell,-35.65,Expense,Gas & Fuel,Platinum Card,2018-08
2018-08-31,Grocery Store,-11.64,Expense,Groceries,Platinum Card,2018-08
2018-08-31,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-08
2018-09-01,Brewing Company,-47.4,Expense,Alcohol & Bars,Platinum Card,2018-09
2018-09-01,Amazon,-13.13,Expense,Shopping,Platinum Card,2018-09
2018-09-02,Amazon,-109.83,Expense,Shopping,Platinum Card,2018-09
2018-09-04,Credit Card Payment,687.29,Income,Credit Card Payment,Platinum Card,2018-09
2018-09-04,Credit Card Payment,-687.29,Expense,Credit Card Payment,Checking,2018-09
2018-09-04,Mortgage Payment,-1247.44,Expense,Mortgage & Rent,Checking,2018-09
2018-09-04,Netflix,-11.76,Expense,Movies & Dvds,Platinum Card,2018-09
2018-09-07,Gas Company,-30.0,Expense,Utilities,Checking,2018-09
2018-09-09,Brewing Company,-18.0,Expense,Alcohol & Bars,Platinum Card,2018-09
2018-09-09,Spotify,-10.69,Expense,Music,Platinum Card,2018-09
2018-09-11,BP,-38.86,Expense,Gas & Fuel,Platinum Card,2018-09
2018-09-11,Grocery Store,-7.87,Expense,Groceries,Platinum Card,2018-09
2018-09-12,Grocery Store,-47.16,Expense,Groceries,Platinum Card,2018-09
2018-09-12,Phone Company,-89.4,Expense,Mobile Phone,Checking,2018-09
2018-09-13,Grocery Store,-5.64,Expense,Groceries,Platinum Card,2018-09
2018-09-14,Credit Card Payment,134.34,Income,Credit Card Payment,Platinum Card,2018-09
2018-09-14,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-09
2018-09-17,Grocery Store,-10.17,Expense,Groceries,Platinum Card,2018-09
2018-09-17,Grocery Store,-8.8,Expense,Groceries,Platinum Card,2018-09
2018-09-17,City Water Charges,-35.0,Expense,Utilities,Checking,2018-09
2018-09-18,Grocery Store,-4.32,Expense,Groceries,Platinum Card,2018-09
2018-09-18,Power Company,-60.0,Expense,Utilities,Checking,2018-09
2018-09-19,State Farm,-75.0,Expense,Auto Insurance,Checking,2018-09
2018-09-19,Barbershop,-30.0,Expense,Haircut,Platinum Card,2018-09
2018-09-20,Amazon,-47.38,Expense,Shopping,Platinum Card,2018-09
2018-09-22,Hardware Store,-69.4,Expense,Home Improvement,Platinum Card,2018-09
2018-09-22,Hardware Store,-6.83,Expense,Home Improvement,Platinum Card,2018-09
2018-09-25,Internet Service Provider,-74.99,Expense,Internet,Checking,2018-09
2018-09-25,Sushi Restaurant,-48.64,Expense,Restaurants,Silver Card,2018-09
2018-09-26,Starbucks,-5.0,Expense,Coffee Shops,Platinum Card,2018-09
2018-09-26,Exxon,-38.0,Expense,Gas & Fuel,Silver Card,2018-09
2018-09-27,Valero,-40.71,Expense,Gas & Fuel,Platinum Card,2018-09
